Hash,RawLog
d4a54862e6ee6ecd7e422df3f5f3ed5d5d803388b985ddadb4fa01e78c58bc3c,"block height: 4961550, timeout height: 4961549: tx timeout height"
39c6b1b1a4e8ea5aa70663c5fc9e8667977d775d47206c225ae9974621b8c394,failed to execute message; message index: 1: Generic error: Cannot withdraw collateral over than minimum collateral ratio: execute wasm contract failed
ed2d22532451e4d2d31990980dbccbe61ac026de0c48d1ed51b25e803acf7f4e,failed to execute message; message index: 1: Generic error: Cannot withdraw more than you provide: execute wasm contract failed
9073aa9db94f23ff16f91fbe4bb6b9945306cd43c3d2e8b4305e3c74b042868e,failed to execute message; message index: 1: Generic error: Collateral price is too old: execute wasm contract failed
ad8a111b26c8fe3411820333409ba92667cf53e093a3ff75aa5f7c44cade1266,failed to execute message; message index: 1: Generic error: Native token balance mismatch between the argument and the transferred: execute wasm contract failed
19216faa84b47859fe87a6351b8d84ce2733370dd8a49c2e522533fc6cbcd744,failed to execute message; message index: 1: Generic error: order already filled or cancelled: execute wasm contract failed
010e11c53acb2c5a42d8cc0752ecbd7422d1ae8abebb87c59314643dfd915250,failed to execute message; message index: 1: Generic error: Price is too old: execute wasm contract failed
ca045976a71faef72b82f033b4a6b969e176321129dcc4c5bdab8b53aa076f44,failed to execute message; message index: 1: Generic error: slippage_tolerance cannot bigger than 1: execute wasm contract failed
6d8a00c13d2ef2b7cf549fe91113c2b102242de2ddf55f86b1e3b425260d8f6c,failed to execute message; message index: 1: Generic error: terra1mmly4jprsccufaymvc3r9qsm358wt076we6v8u attempting to withdraw 1 of nft
3f9757a31fefda4240f1e67bb5601d5937ce8e31a891862d79336fce4e9c448b,failed to execute message; message index: 1: Invalid zero amount: execute wasm contract failed
4e0a2c5db07b9b61d82e501f9fc00bf55651f92b98d2ee51ec024052c3ffcde3,failed to execute message; message index: 1: Max slippage assertion: execute wasm contract failed
fb7ddbdd25bf3736e2ec6899c7a92f88e11278da9e236bd8ef0884580f3c453b,failed to execute message; message index: 1: Max spread assertion: execute wasm contract failed
197b3612648e75e77167bea2ffd164e870c54b13271643513cb969ab2be1d395,failed to execute message; message index: 1: Overflow: Cannot Sub with 10051708681 and 10063985461: execute wasm contract failed
edda6408f94ad9b468adcae3f513ca7868eb5c5af9b890e8a5e368b13deaec7c,failed to execute message; message index: 1: receive packet verification failed: block height >= packet timeout height (5-4989639 >= 5-4989634): packet timeout
606085e5569346b8d1f1208d983ef0fa5470380259543d00f14a58c390115491,failed to execute message; message index: 1: timeout packet verification failed: packet timeout has not been reached for height or timestamp: packet timeout
49504a7b5e6dba366b29e9224354ff475fb403bcca9b9b6aae5a0380606eaf2b,failed to execute message; message index: 10: Already claimed: execute wasm contract failed
1a18c09cd36e962a25ca7ce035ae6da44c5d518ffb23ebd5fa85836ca6bd8bd2,failed to execute message; message index: 10: no delegation distribution info
47b59b4603fa90a4bd8886c512afbc2be2a0c1e3ea5033c8ddfd79bf4d45ce5f,failed to execute message; message index: 11: Already claimed: execute wasm contract failed
833132ba7225459145d2b98a19b5c001e8dbec7d4c341d798ce767d6f4b7d7ee,failed to execute message; message index: 2: Asset mismatch: execute wasm contract failed
4d455f294165cfb3f0615a74692e23f03fe66fe7888c1315e01f7ab99921e175,failed to execute message; message index: 2: dispatch: dispatch: dispatch: reply: dispatch: Invalid zero amount: execute wasm contract failed
fc1465bc7b3edf0041d33724a562116e9dc94269373ba4e4ea7e33a0483515c1,"failed to execute message; message index: 2: dispatch: dispatch: Generic error: assertion failed; minimum receive amount: 10013112458, swap amount: 9921403436: execute wasm contract failed"
a3b977429fd6b538b83504fb2b43e2e0daa5211415ee77844bdccc7800acd4fd,failed to execute message; message index: 2: dispatch: dispatch: reply: dispatch: Invalid zero amount: execute wasm contract failed
43ef1d8428cba8cd746ae3974a5fabab68028c8a440eda1dfd57940cfb06c5b1,failed to execute message; message index: 2: dispatch: Error parsing into type terraswap::pair::Cw20HookMsg: Error parsing decimal '0.0070750000000000006': Generic error: Cannot parse more than 18 fractional digits: execute wasm contract failed
9b8d822719f80ec94d224c163be771f740d49a2fc276fb9e26806e7a58b67102,failed to execute message; message index: 2: dispatch: Error parsing into type terraswap::pair::Cw20HookMsg: Error parsing decimal '0.0075250000000000004': Generic error: Cannot parse more than 18 fractional digits: execute wasm contract failed
dca35d130235d9bad9830872d4266d2a04359baaa805c14bd2e1f7832937011d,failed to execute message; message index: 2: dispatch: Error parsing into type terraswap::router::Cw20HookMsg: invalid Uint128 '96307863.3' - invalid digit found in string: execute wasm contract failed
9106664e9197f8e31734296e34b289ec3fce2867fd4d4b2fe9a62029632edd7a,failed to execute message; message index: 2: dispatch: Generic error: Cannot liquidate a safely collateralized position: execute wasm contract failed
b2d183e3df3f687f7df513800d866f181bb5bc0e8b6d4516b8022e42caba91dc,failed to execute message; message index: 2: dispatch: Generic error: Cannot liquidate more than the position amount: execute wasm contract failed
4b881529827313fb6b937862b3a037ccf84c95df86732527f7e802f36f5fb840,failed to execute message; message index: 2: dispatch: Max slippage assertion: execute wasm contract failed
1af6407d7161e919488160b057b5dd4c40506600b6cd443899a176ede6188fac,failed to execute message; message index: 2: dispatch: Max spread assertion: execute wasm contract failed
1a5d0b978d998a1c657d86a1e21f1d8a38fdee7af9b10f18ec578cc2a0af7847,failed to execute message; message index: 2: dispatch: mirror_mint::state::Position not found: execute wasm contract failed
bc4e427265e69d1a81ba7b9cbe744a4ac50513dd5e336a83e7e6e9142983af4b,failed to execute message; message index: 2: dispatch: Overflow: Cannot Sub with 943931 and 2000000: execute wasm contract failed
8be9330580ba53a00b2d4a49521cf48d03ec7c7bcec5cbd6a3a98697fe5cb4a8,"failed to execute message; message index: 2: Generic error: addr_canonicalize errored: decoding bech32 failed: checksum failed. Expected qaqg0w, got yekxy0.: execute wasm contract failed"
54c14a4b6cc1f10d038109f52b95978c2424cbb31c626a2ef471af2e10d7f112,failed to execute message; message index: 2: Generic error: unauthorized: execute wasm contract failed
12f5355fc3f6bd17fd8baa04bf98e1d100880a14e4c6bf7332ea6d3e885801c2,failed to execute message; message index: 2: Max slippage assertion: execute wasm contract failed
887ee7de0e346dd469c920cd058299e394450ff1c65c687a8f60a7f7c306e2dc,failed to execute message; message index: 2: Max spread assertion: execute wasm contract failed
6ef66649d2eb0a6698b05c2c2dcdf7240b8aa1136b7cb4c65221e63e5ffb9fb6,failed to execute message; message index: 2: Overflow: Cannot Sub with 103255236 and 103255271: execute wasm contract failed
d19ec9b29e5e986aa0daae7f1f2e760743956d60b46cc168dbff951633147be7,failed to execute message; message index: 2: Overflow: Cannot Sub with 91066134 and 91744483: execute wasm contract failed
